Representative Ackerman, Gary L.
Representative Adams, Alma S.
Representative Aderholt, Robert B.
Representative Akin, W. Todd
Representative Mooney, Alexander X.
Representative Altmire, Jason
Representative Amash, Justin
Representative Andrews, Robert E.
Representative Austria, Steve
Representative Baca, Joe
Representative Bachmann, Michele
Representative Bachus, Spencer
Senator Baldwin, Tammy
Representative Barletta, Lou
Representative Barrow, John
Representative Bartlett, Roscoe G.
Representative Barton, Joe
Representative Bass, Karen
Representative Bass, Charles F.
Representative Becerra, Xavier
Representative Benishek, Dan
Representative Berg, Rick
Representative Berkley, Shelley
Representative Berman, Howard L.
Representative Biggert, Judy
Representative Bilbray, Brian P.
Representative Bilirakis, Gus M.
Representative Bishop, Sanford D., Jr.
Representative Bishop, Timothy H.
Representative Bishop, Rob
Representative Black, Diane
Senator Blackburn, Marsha
Representative Blumenauer, Earl
Representative Bonner, Jo
Representative Bono Mack, Mary
Representative Boren, Dan
Representative Boswell, Leonard L.
Representative Boustany, Charles W., Jr.
Representative Brady, Robert A.
Representative Brady, Kevin
Representative Braley, Bruce L.
Representative Brooks, Mo
Representative Broun, Paul C.
Representative Brown, Corrine
Representative Buchanan, Vern
Representative Bucshon, Larry
Representative Buerkle, Ann Marie
Representative Burgess, Michael C.
Representative Burton, Dan
Representative Butterfield, G. K.
Representative Calvert, Ken
Representative Camp, Dave
Representative Campbell, John
Representative Canseco, Francisco "Quico"
Representative Cantor, Eric
Senator Capito, Shelley Moore
Representative Capps, Lois
Representative Capuano, Michael E.
Representative Cardoza, Dennis A.
Representative Carnahan, Russ
Representative Carney, John C., Jr.
Representative Carson, Andre
Representative Carter, John R.
Senator Cassidy, Bill
Representative Castor, Kathy
Representative Chabot, Steve
Representative Chaffetz, Jason
Representative Chandler, Ben
Representative Chu, Judy
Representative Cicilline, David N.
Representative Clarke, Hansen
Representative Clarke, Yvette D.
Representative Higgins, Clay
Representative Cleaver, Emanuel
Representative Clyburn, James E.
Representative Coble, Howard
Representative Coffman, Mike
Representative Cohen, Steve
Representative Cole, Tom
Representative Conaway, K. Michael
Representative Connolly, Gerald E.
Representative Conyers, John, Jr.
Representative Cooper, Jim
Representative Costa, Jim
Representative Costello, Ryan A.
Representative Courtney, Joe
Representative Cravaack, Chip
Representative Crawford, Eric A. "Rick"
Representative Crenshaw, Dan
Representative Critz, Mark S.
Representative Crowley, Joseph
Representative Cuellar, Henry
Representative Culberson, John Abney
Representative Cummings, Elijah E.
Representative Davis, Susan A.
Representative Davis, Danny K.
Representative Davis, Geoff
Representative DeFazio, Peter A.
Representative DeGette, Diana
